wav_filename,wav_filesize,transcript
./wav/original/test2_1.mp3.wav,0,почеши пятку
./wav/original/test2_2.mp3.wav,0,почеши пятку
./wav/original/test2_3.mp3.wav,0,почеши пятку
./wav/original/test2_4.mp3.wav,0,почеши пятку
./wav/original/test2_5.mp3.wav,0,почеши пятку
./wav/original/test2_1.mp3.wav,0,почеши пятку
./wav/original/test2_2.mp3.wav,0,почеши пятку
./wav/original/test2_3.mp3.wav,0,почеши пятку
./wav/original/test2_4.mp3.wav,0,почеши пятку
./wav/original/test2_5.mp3.wav,0,почеши пятку
./wav/original/test2_1.mp3.wav,0,почеши пятку
./wav/original/test2_2.mp3.wav,0,почеши пятку
./wav/original/test2_3.mp3.wav,0,почеши пятку
./wav/original/test2_4.mp3.wav,0,почеши пятку
./wav/original/test2_5.mp3.wav,0,почеши пятку
./wav/original/test2_1.mp3.wav,0,почеши пятку
./wav/original/test2_2.mp3.wav,0,почеши пятку
./wav/original/test2_3.mp3.wav,0,почеши пятку
./wav/original/test2_4.mp3.wav,0,почеши пятку
./wav/original/test2_5.mp3.wav,0,почеши пятку
./wav/original/test2_1.mp3.wav,0,почеши пятку
./wav/original/test2_2.mp3.wav,0,почеши пятку
./wav/original/test2_3.mp3.wav,0,почеши пятку
./wav/original/test2_4.mp3.wav,0,почеши пятку
./wav/original/test2_5.mp3.wav,0,почеши пятку
./wav/original/test2_1.mp3.wav,0,почеши пятку
./wav/original/test2_2.mp3.wav,0,почеши пятку
./wav/original/test2_3.mp3.wav,0,почеши пятку
./wav/original/test2_4.mp3.wav,0,почеши пятку
./wav/original/test2_5.mp3.wav,0,почеши пятку
./wav/original/test2_1.mp3.wav,0,почеши пятку
./wav/original/test2_2.mp3.wav,0,почеши пятку
./wav/original/test2_3.mp3.wav,0,почеши пятку
./wav/original/test2_4.mp3.wav,0,почеши пятку
./wav/original/test2_5.mp3.wav,0,почеши пятку
./wav/original/test2_1.mp3.wav,0,почеши пятку
./wav/original/test2_2.mp3.wav,0,почеши пятку
./wav/original/test2_3.mp3.wav,0,почеши пятку
./wav/original/test2_4.mp3.wav,0,почеши пятку
./wav/original/test2_5.mp3.wav,0,почеши пятку
./wav/original/test2_1.mp3.wav,0,почеши пятку
./wav/original/test2_2.mp3.wav,0,почеши пятку
./wav/original/test2_3.mp3.wav,0,почеши пятку
./wav/original/test2_4.mp3.wav,0,почеши пятку
./wav/original/test2_5.mp3.wav,0,почеши пятку

